part_idx,part_name,part_title,persistent_id,stage,module,kind,name,gui_name,value,ui_control,extra
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,PART,TE.18.DRAGONV2.POD,Crew Dragon,mass=4.007 wet=1.844,-,activates@stage=0 symmetry=0
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,NTO,NTO,565.555/565.555,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,MMH,MMH,728.322/728.322,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,Helium,Helium,133724/133724,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,Oxygen,Oxygen,34400.7/34400.7,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,Food,Food,339.6/339.6,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,Water,Water,224.4/224.4,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,CarbonDioxide,CarbonDioxide,0/300,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,Waste,Waste,0/50,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,WasteWater,WasteWater,0/200,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,-,RESOURCE,ElectricCharge,ElectricCharge,50000/50000,flowing,-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,MODULE,ModuleAnimateGeneric,ModuleAnimateGeneric,enabled=True isEnabled=True,-,engineID=-
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,EVENT,Toggle,Open Shroud,active,-,guiActive=True unfocused=True uncommand=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,EVENT,ToggleStaging,Disable Staging,active,-,guiActive=False unfocused=False uncommand=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,instantAnimInEditor,-,True,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,animationName,-,TE_23_CD2_NOSECONE_ANI,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,CrewCapacity,-,0,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,layer,-,1,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,status,Status,Locked,UI_Label, guiActive=True editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,showStatus,-,True,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,aniState,-,LOCKED,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,animSwitch,-,False,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,animTime,-,1,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,animSpeed,-,40,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,isOneShot,-,False,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,actionAvailable,-,True,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,eventAvailableEditor,-,True,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,eventAvailableFlight,-,True,UI_Label, guiActive=False editor=False
0,TE.18.DRAGONV2.POD,Crew Dragon,3067039310,0,ModuleAnimateGeneric,FIELD,eventAvailableEVA,-,True,UI_Label, guiActive=False editor=False
